track_name,release_year,popularity,energy,danceability,valence,tempo,artist_name
Mi Vida Entera,2018,61,0.504,0.847,0.705,125.007,Morat
Pretending,2001,34,0.843,0.476,0.324,126.165,HIM
Miss Otis Regrets (She's Unable To Lunch Today),1956,24,0.0123,0.424,0.182,127.437,Ella Fitzgerald
Balada Louca - Ao Vivo,2014,28,0.972,0.567,0.754,120.049,Munhoz & Mariano
"Matthäus-Passion, BWV 244 / Zweiter Teil: No. 45 ""Auf das Fest aber hatte der Landpfleger Gewohnheit""",1989,24,0.0352,0.514,0.368,104.747,Johann Sebastian Bach
Amantes De Otro Tiempo,2008,40,0.864,0.527,0.883,176.57,Frankie Ruiz
Changes - Live; 2005 Mix; 2016 Remaster,1974,24,0.482,0.459,0.453,112.055,David Bowie
"Matthäus-Passion, BWV 244, Zweiter Teil: 63a. Evangelista ""Und siehe da, der Vorhang im Tempel zerriß"" - 63b. Chorus I & II ""Wahrlich, dieser ist Gottes Sohn gewesen"" - 63c. Evangelista ""Und es waren viel Weiber da""",1999,33,0.0495,0.347,0.152,90.131,Johann Sebastian Bach
"Mozart: String Quartet No. 17 in B-Flat Major, Op. 10 No. 3, K. 458 ""Hunt"": III. Adagio",1978,36,0.0366,0.195,0.0886,97.154,Wolfgang Amadeus Mozart
Oxygen,2017,67,0.507,0.691,0.15,119.977,BONES
Absolutely Sweet Marie,1966,39,0.738,0.565,0.806,134.109,Bob Dylan
Memories,2021,13,0.32,0.764,0.576,91.019,Maroon 5
Il pleut,1988,25,0.207,0.597,0.228,112.333,Renaud
Take It All,2011,55,0.266,0.415,0.282,138.096,Adele
Aynı Nakarat,1992,35,0.583,0.818,0.869,109.642,Nazan Öncel
Caminito,1978,19,0.242,0.487,0.683,111.858,Julio Iglesias
那一夜,2018,45,0.696,0.586,0.417,143.943,G.E.M.
炎,2020,62,0.685,0.477,0.308,152.04,LiSA
Bird of Paradise (Navio),1987,41,0.27,0.613,0.433,114.371,Djavan
Eres,1979,64,0.666,0.578,0.863,100.771,José Maria Napoleón
Jump Then Fall,2008,55,0.687,0.618,0.82,79.991,Taylor Swift
Are Le Lo Ji Hai Yeh Dil Ka Heera,1962,3,0.8,0.678,0.945,115.103,Kishore Kumar
